target,run_seed,generation,best_fitness,mean_fitness,best_length,mean_length
nguyen3,1,0,0.632385,0.142997,8,8
nguyen3,1,1,0.632385,0.274365,8,8.023
nguyen3,1,2,0.632385,0.371968,8,7.997
nguyen3,1,3,0.632385,0.395865,8,8.078
nguyen3,1,4,0.632385,0.409734,9,8.143
nguyen3,1,5,0.716024,0.428518,7,8.141
nguyen3,1,6,0.756438,0.462278,8,8.105
nguyen3,1,7,0.756438,0.466493,8,8.162
nguyen3,1,8,0.756438,0.504401,7,8.24
nguyen3,1,9,0.808244,0.525489,8,8.25
nguyen3,1,10,0.808244,0.545442,8,8.337
nguyen3,1,11,0.808244,0.537949,10,8.526
nguyen3,1,12,0.808244,0.526782,10,8.61
nguyen3,1,13,0.808244,0.539361,8,8.749
nguyen3,1,14,0.808244,0.544114,9,8.822
nguyen3,1,15,0.809614,0.549289,8,8.862
nguyen3,1,16,0.809614,0.589438,8,8.816
nguyen3,1,17,0.818623,0.638193,6,8.817
nguyen3,1,18,0.818623,0.663019,6,8.925
nguyen3,1,19,0.818623,0.660805,14,9.005
nguyen3,1,20,0.818623,0.661159,13,9.171
nguyen3,1,21,0.818623,0.662083,11,9.411
nguyen3,1,22,0.818623,0.665838,8,9.55
nguyen3,1,23,0.818623,0.676593,10,9.613
nguyen3,1,24,0.818623,0.702383,12,9.833
nguyen3,1,25,0.818623,0.72077,9,9.859
nguyen3,1,26,0.818623,0.734989,10,10.03
nguyen3,1,27,0.818623,0.730285,7,10.231
nguyen3,1,28,0.818623,0.731174,8,10.229
nguyen3,1,29,0.818623,0.724652,11,10.277
nguyen3,1,30,0.818623,0.742424,13,10.382
nguyen3,1,31,0.818623,0.719693,9,10.356
nguyen3,1,32,0.818623,0.726624,12,10.41
nguyen3,1,33,0.818623,0.73305,5,10.335
nguyen3,1,34,0.818623,0.739227,9,10.374
nguyen3,1,35,0.818623,0.730038,8,10.394
nguyen3,1,36,0.818623,0.733503,12,10.334
nguyen3,1,37,0.818623,0.737108,9,10.374
nguyen3,1,38,0.818623,0.731013,5,10.409
nguyen3,1,39,0.818623,0.732496,7,10.471
nguyen3,1,40,0.818623,0.724947,13,10.448
nguyen3,1,41,0.818623,0.733749,8,10.456
nguyen3,1,42,0.818623,0.731188,7,10.512
nguyen3,1,43,0.818623,0.729015,9,10.44
nguyen3,1,44,0.818623,0.736567,6,10.469
nguyen3,1,45,0.818623,0.727475,14,10.573
nguyen3,1,46,0.818623,0.729378,13,10.608
nguyen3,1,47,0.818623,0.73269,7,10.641
nguyen3,1,48,0.818623,0.735754,6,10.546
nguyen3,1,49,0.818623,0.728041,5,10.529
nguyen3,1,50,0.818623,0.734585,12,10.628
nguyen3,1,51,0.818623,0.731968,10,10.64
